Gene,log2FC,Pvalue,Padj
ANK3,2.395530000000001,6.120604593253564e-06,0.13235807432910832
ANKFN1,2.098413333333334,2.3693678775403047e-05,0.5123758035180909
ANKRA2,1.098373333333332,0.001309846527684921,28.32543116118642
ANKRD44,1.8665000000000012,1.2641440439502367e-05,0.2733711495042387
ANXA4,1.1299400000000013,0.0001110589908484277,2.401650677097249
ANXA9,1.722876666666667,0.00010510450478718865,2.2728849160229547
AOAH,1.9807566666666672,1.834840009510862e-07,0.003967841520567239
APH1B,1.4701400000000016,0.00015893414877322693,3.436950967221032
APOD,1.701316666666667,0.00014047397207107948,3.037749646037094
AQP3,1.4604133333333333,0.000693890096562112,15.005373338155671
ARHGEF37,2.135720000000001,2.09807390133164e-06,0.045370848116296714
ARID5B,1.3103000000000016,1.4342341612648794e-05,0.3101531373735302
ARRDC4,1.3880733333333328,0.000200309031621673,4.3316828088186785
ARSD,1.3473833333333296,5.030163170237988e-05,1.087772785563965
ASPA,1.011896666666666,0.0007038530975139648,15.22082323373949
ATL1,1.9550833333333344,1.660837049354182e-05,0.35915601192284186
ATP10D,1.3171099999999996,0.0002016339208521777,4.360333538428343
ATP1B2,1.1491066666666665,0.0005456907371326403,11.800562190493347
ATP2B4,1.334200000000001,1.516534308211133e-06,0.03279505441506575
ATP6V1G2,1.0062122222222234,0.0005856898851383041,12.665543766115826
ATP8A1,1.642853333333334,0.00036730286003620487,7.94292434828293
AY358248,1.0895000000000001,0.0452526891668091,978.5894032322468
AZGP1,2.079563333333331,6.728546158031315e-07,0.01455048106674272
AZIN2,1.176449999999999,0.00011488896365488361,2.484473839036858
B3GALT2,1.82491,0.00043982830670908035,9.511287132583863
BANK1,1.178773333333334,0.00088367893682004,19.109557008733365
BAZ2B,1.4820866666666666,7.561037898615996e-05,1.6350744455757091
BC019340,1.1884166666666678,0.00040999601265759094,8.866163773720404
BC044919,1.281460000000001,3.420565643066537e-05,0.7396973203131386
BC136727,1.2988299999999997,0.0008724189059042736,18.866058840179917
BCHE,1.158926666666666,0.00020282266250819714,4.386040076739763
BCL2A1,1.04054,0.0013403934838107385,28.98600908740722
BDH2,1.2198233333333333,0.0023063077161315534,49.87390436134484
BDH2P1,1.199116666666665,0.0014743883231646277,31.883647488435074
BEND6,1.3216566666666676,0.0006044279644906915,13.070754732111203
BEST1,2.6824933333333334,8.405104092654203e-05,1.8176037600364714
BGN,1.2881033333333338,0.0010827719270017394,23.414942921412614
BHLHE41,1.5332266666666667,0.0006022901502390781,13.024524498920064
BMF,2.584736666666668,2.212176539895806e-05,0.47838317675246805
BMP5,1.78688,0.00029482503120077815,6.375591299716827
BTBD8,1.36029,0.0016815669416385959,36.36388511293464
BVES,1.0848333333333358,0.0011491984458948238,24.851416392475564
C3,1.4110433333333319,2.0206824712718933e-05,0.43697258441254694
CACNA1D,1.487473333333333,7.020123920285993e-06,0.1518101797761846
CALCOCO1,1.0750366666666675,1.8618965921064842e-06,0.04026351380430272
CALCRL,1.9723966666666675,0.0002804518293150824,6.064770808938657
CAPS,1.6740666666666666,5.3523030567085466e-05,1.1574355360132231
CARF,1.6330133333333325,0.001139112569674509,24.633309319211257
CBLB,1.3949399999999983,0.00042619850368313066,9.2165426421477
CCDC102B,1.2337966666666667,0.00026970103226186783,5.832284822662892
CCDC113,1.0413000000000006,0.0013902967447816878,30.065167105904
CCDC146,1.3948866666666655,8.662942605074086e-05,1.873361338347271
CCDC92,1.2531200000000027,0.000641665626392888,13.876019170746202
CCNDBP1,1.1098866666666645,0.00010359121272676655,2.2401599752163266
CD24,3.3225333333333325,9.559543883372902e-06,0.206725136477939
CD36,5.780170000000001,3.7369554997729565e-08,0.0008081166268259018
CD68,1.005466666666667,9.545979888738777e-05,2.0643181509397603
CD99L2,1.1296400000000002,8.329103225422174e-06,0.18011685724975451
CDH10,2.107849999999999,0.0001845001520895058,3.9898157889355628
CDH12,1.232826666666666,0.0001931644763869297,4.177181801867355
CDH7,1.1791299999999998,0.0004896446784294729,10.588566171037352
CDH9,1.0915566666666683,0.0009257737630718145,20.01985762642799
CDKL5,1.7839866666666673,0.0003194136947358807,6.90732114866342
CDR1,1.271486666666667,4.172211716258614e-05,0.9022407836409253
CELSR2,1.0078400000000016,4.253527285643701e-06,0.09198252755204503
CERS4,1.8329666666666657,6.569303315048713e-05,1.4206118418792841
CFHR3,1.0033133333333328,0.0005957526302840458,12.88315062989249
CFI,1.5893133333333322,3.133970639974228e-05,0.6777211508944269
CHMP4C,1.1102333333333325,0.0003291835048738566,7.11859329289715
CKB,1.1170000000000009,0.00034128734226977417,7.380338776583867
CKMT1A,1.2479833333333339,0.00012014115235141992,2.5980524195994557
CKMT1B,1.2479833333333339,0.00012014115235141992,2.5980524195994557
CLIP3,1.4246066666666675,5.4084733296633416e-05,1.1695823575396975
CLIP4,1.8419133333333324,2.6414907251844328e-05,0.5712223693211336
CLU,1.504739999999999,6.947003009225285e-05,1.5022894007449679
CLYBL,1.4969366666666657,6.686028976874373e-05,1.4458537662490831
CNTN1,2.150643333333332,1.1530019119115928e-05,0.24933666345088193
COL14A1,1.1487166666666662,2.944572511020585e-06,0.06367638055082016
COL21A1,2.2165333333333335,3.3917211965723986e-05,0.7334597087587812
COL4A3BP,1.3720833333333324,0.00011249068175743484,2.4326109930045283
CPQ,1.3553000000000015,0.00044732975574405837,9.673505967965262
CREBRF,1.0562533333333342,0.00021557090934968827,4.661720914687009
CRHBP,1.5095033333333339,8.368490341997134e-05,1.8096860364568803
CRYAB,2.343209999999999,0.0017622950260112197,38.10962993749263
CRYGS,1.548236666666667,0.0001224525258632445,2.648035871792662
CRYL1,1.064426666666665,0.00239397347833883,51.769676469077204
CTSK,1.5871933333333317,0.0002044478169467146,4.421184041472704
CTSO,1.5425500000000003,0.00019908340296805776,4.305178589184249
CUBN,1.5337999999999994,4.852832743596272e-06,0.10494250808026938
CXADR,1.725483333333334,0.00010815693467357496,2.3388937123160587
CYB5D2,1.150970000000001,0.00016063883379441467,3.4738147808042172
CYP1B1,1.7192349999999994,9.807400807250603e-05,2.120850424567943
CYP27A1,1.4446066666666662,4.984042247456169e-06,0.10777991360123966
CYP4V2,1.1494599999999977,7.132582006179063e-06,0.15424208588362223
DALRD3,1.285339999999998,1.5149192568662127e-05,0.3276012892973185
DCN,1.4591166666666666,0.00014243281728631968,3.080109673816663
DCT,5.633026666666664,7.546873485058452e-07,0.016320113911438904
DDR1,1.078535555555554,1.846726749970984e-05,0.3993546596812253
DDX60L,1.024,0.003145903106963527,68.03015468808627
DECR1,1.3609133333333343,0.00010599598597026159,2.2921631966069067
DFNB31,1.1161933333333334,1.7183040789761513e-05,0.37158325707859274
DHRS1,1.146810000000002,5.134011534142457e-05,1.1102299942583063
DHX58,1.2574199999999998,3.20657265807983e-05,0.6934213373097632
DIO2,1.5199666666666678,0.0005613680149269914,12.13958332279619
DISP1,1.3115666666666659,0.0003163067069467344,6.8401325377231315
DKK3,1.5046400000000002,8.317380233745475e-05,1.798633475547459
DNAJB4,1.0402799999999992,0.00125288087251574,27.09354886815288
DNAJC1,1.2082566666666654,1.1884840329748668e-06,0.025700967213081495
DNAJC28,1.4007666666666667,0.0002124694355850483,4.59465154452667
DNM1P47,1.6944058333333327,0.00010860185071211058,2.348515021649391
DPP4,1.7963266666666664,0.0006640446601303818,14.359965775319507
DSC2,1.492656666666667,0.000898394381327733,19.427778496212227
DSCR8,1.5279466666666668,0.0016533938173166108,35.75464129947171
DTNA,2.02186,4.965850192655211e-05,1.0738651041616893
DUSP10,1.0749533333333314,0.000792601796736802,17.14001385443334
DUSP19,1.1842000000000006,0.0030519383232324366,65.99816623990144
DUSP5P1,1.45981,0.00016206026089867523,3.504553141933852
DYSF,1.2632499999999984,0.00010608527525118129,2.2940940773067955
DZIP3,1.2217633333333335,0.0005870678559886259,12.695342385754035
EDIL3,2.3965933333333336,8.087109150512438e-05,1.7488373537983146
EFEMP2,1.4674400000000016,5.744179548351614e-05,1.2421788273310366
EGLN3,1.6222866666666658,0.00019498389479466339,4.216526724934596
ELF1,1.1971666666666643,4.321132645211618e-05,0.9344449345270124
ENO4,1.1440099999999997,0.0004552447246422283,9.844667170388188
