Gene,log2FC,Pvalue,Padj
ACBD3,0.03313333333333546,0.26822495482870257,5800.364648170693
ACBD4,0.6681733333333337,0.0006784101790934265,14.670620122895347
ACBD5,0.13085666666666818,0.34297946672971313,7416.930968030047
ACBD6,0.24263333333333215,0.022064815879836535,477.1516434014651
ACBD7,-0.0790833333333314,0.5941615866548411,12848.74431141094
ACCS,0.7929133333333338,0.00010014347287000676,2.165602600813896
ACCSL,-0.1030866666666661,0.21222355686054298,4589.334417109242
ACD,-0.4821266666666659,0.0013306614923140501,28.775554771291333
ACE,0.204973333333335,0.1240208136080469,2681.950094274014
ACE2,0.41285999999999934,0.007012066385587339,151.6359355883262
ACER1,-0.2630599999999994,0.19438765274836917,4203.6329906834835
ACER2,-0.20492666666666626,0.08493913018295818,1836.8086902064706
ACER3,-0.22656666666666858,0.04353499659201589,941.4443013023435
ACHE,-0.23390333333333313,0.06505860833439549,1406.8924052313025
ACIN1,0.07226666666666581,0.07957750200775929,1720.8634809177945
ACKR1,-0.09011000000000013,0.18078380052695525,3909.4496863954073
ACKR2,0.26779000000000064,0.011231154645721577,242.87371921372912
ACKR3,-0.09210999999999991,0.14688530283405285,3176.394673786393
ACKR4,0.18760666666666825,0.07152716884920288,1546.7750263640123
ACLY,-0.21503333333333252,0.012205669770562517,263.9476087884144
ACMSD,-0.22255333333333382,0.03951175251585162,854.4416481552913
ACN9,-0.18276999999999965,0.1519824263026176,3286.6199687941057
ACO1,0.6300666666666661,0.0005861842651128206,12.676234733064746
ACO2,0.36106666666666776,0.0033867111207275063,73.23762798573232
ACOT1,-0.04886333333333326,0.8412416870649948,18191.851482780512
ACOT11,0.029786666666666406,0.7271444682018268,15724.499124864504
ACOT12,-0.011089999999999378,0.8300976812710654,17950.86235748679
ACOT13,0.6653666666666656,0.0006233928437231959,13.48087024551411
ACOT2,0.6824699999999968,0.00180492602828513,39.031525361665935
ACOT4,-0.1630233333333333,0.2147158896572229,4643.231113837445
ACOT6,-0.1251833333333332,0.5260789802185133,11376.45794722535
ACOT7,-0.663571666666666,0.0006590774838168089,14.252550587538492
ACOT8,0.5218166666666662,0.001203672798858601,26.029424275317247
ACOT9,-0.3481333333333314,0.002249094893613408,48.63667707438995
ACOX1,0.42408333333333204,0.0027141086155375725,58.692598811
ACOX2,-0.7817200000000009,0.001889776190511223,40.866410119805195
ACOX3,0.3936700000000002,0.008481800130675114,183.41892782584935
ACOXL,-0.1629000000000005,0.17558865258969117,3797.1046122520715
ACP1,-0.08119999999999905,0.4046942504744699,8751.51316651041
ACP2,0.522196666666666,0.0008864114185928516,19.168646927070416
ACP5,0.7880733333333332,0.0008860297965978653,19.160394351428838
ACP6,0.26283333333333303,0.008192277157426313,177.15799352934403
ACPP,0.8667233333333328,0.0009815194852553979,21.22535886864798
ACPT,-0.16195000000000093,0.009935809299692762,214.86187610585597
ACR,-0.08428999999999931,0.25252183465006617,5460.784674307681
ACRBP,0.051913333333333256,0.3938237779504153,8516.43919817773
ACRC,0.1838500000000005,0.13054822595598226,2823.105386298116
ACRV1,0.16342999999999996,0.01266003458396376,273.7732478782163
ACSBG1,0.16300666666666697,0.14433729435675116,3121.2939904647437
ACSBG2,-0.062233333333332475,0.12237632224296056,2646.3879685040224
ACSF2,1.5171899999999994,6.184622640706723e-06,0.13374246460528288
ACSF3,0.28213666666666803,0.039295224568971145,849.759231304001
ACSL1,0.8672133333333338,0.0004973058403114111,10.754238796734265
ACSL3,-0.7004333333333328,0.0008276406799985438,17.897729704968512
ACSL4,-0.7251066666666652,0.0016496960540533197,35.67467716890304
ACSL5,0.5069366666666673,0.008738286046129808,188.9654357475571
ACSL6,-0.012159999999999727,0.6786949212182352,14676.777671344335
ACSM1,-0.21254666666666822,0.1683852374543382,3641.3307599500636
ACSM2A,-0.15159666666666638,0.13856074841751828,2996.3761845288327
ACSM2B,-0.09575333333333358,0.4092696908928208,8850.45706555725
ACSM3,0.3760866666666667,0.0020452930480286185,44.22946216361888
ACSM5,-0.24919666666666718,0.039273034291449356,849.2793665525924
ACSM6,0.014899999999999913,0.881949924894495,19072.167125843454
ACSS1,0.642756666666668,4.129196588833791e-05,0.8929387623353072
ACSS2,0.1339466666666702,0.02852352933956681,616.8213219681323
ACSS3,0.3072033333333337,0.021755075333409382,470.4535040849779
ACTA1,-0.2275033333333365,0.000874383580551019,18.908544929415786
ACTA2,0.6158700000000001,0.0006476941935022636,14.00638693448645
ACTB,-0.22556666666666558,0.032291110122629946,698.2952564018726
ACTBL2,-0.5715199999999996,0.0031003560891605044,67.04520042809591
